X1,X2,X3,X4,X5
8,78,284,9.10000038,109
9.30000019,68,433,8.69999981,144
7.5,70,739,7.19999981,113
8.89999962,96,1792,8.89999962,97
10.1999998,74,477,8.30000019,206
8.30000019,111,362,10.8999996,124
8.80000019,77,671,10,152
8.80000019,168,636,9.10000038,162
10.6999998,82,329,8.69999981,150
11.6999998,89,634,7.59999991,134
8.5,149,631,10.8000002,292
8.30000019,60,257,9.5,108
8.19999981,96,284,8.80000019,111
7.9000001,83,603,9.5,182
10.3000002,130,686,8.69999981,129
7.4000001,145,345,11.1999998,158
9.60000038,112,1357,9.69999981,186
9.30000019,131,544,9.60000038,177
10.6000004,80,205,9.10000038,127
9.69999981,130,1264,9.19999981,179
11.6000004,140,688,8.30000019,80
8.10000038,154,354,8.39999962,103
9.80000019,118,1632,9.39999962,101
7.4000001,94,348,9.80000019,117
9.39999962,119,370,10.3999996,88
11.1999998,153,648,9.89999962,78
9.10000038,116,366,9.19999981,102
10.5,97,540,10.3000002,95
11.8999996,176,680,8.89999962,80
8.39999962,75,345,9.60000038,92
5,134,525,10.3000002,126
9.80000019,161,870,10.3999996,108
9.80000019,111,669,9.69999981,77
10.8000002,114,452,9.60000038,60
10.1000004,142,430,10.6999998,71
10.8999996,238,822,10.3000002,86
9.19999981,78,190,10.6999998,93
8.30000019,196,867,9.60000038,106
7.30000019,125,969,10.5,162
9.39999962,82,499,7.69999981,95
9.39999962,125,925,10.1999998,91
9.80000019,129,353,9.89999962,52
3.59999991,84,288,8.39999962,110
8.39999962,183,718,10.3999996,69
10.8000002,119,540,9.19999981,57
10.1000004,180,668,13,106
9,82,347,8.80000019,40
10,71,345,9.19999981,50
11.3000002,118,463,7.80000019,35
11.3000002,121,728,8.19999981,86
12.8000002,68,383,7.4000001,57
10,112,316,10.3999996,57
6.69999981,109,388,8.89999962,94